FirstName,LastName,Affiliation
Eugene,Vinitsky,NYU
Tom,Schaul,DeepMind
Mohamed,Ayman Mohamed,University of Alberta
Hon,Tik Tse,University of Alberta
Montaser,Mohammed- alamen,University of Alberta
Akhil,Bagaria,Amazon
Shengpu,Tang,Emory University
Braham,Snyder,UVA
Hector,KOHLER,Inria - Univerisité de Lille
Mahdi,Kallel,University of Würzburg
Shibhansh,Dohare,University of Alberta
Diego,Gomez,University of Alberta
Samuel,Neumann,University of Alberta
Steven,Tang,University of Alberta
Parham,Mohammad Panahi,University of Alberta
Tianwei,Ni,"Mila, UdeM"
Chen-Yu,Wei,University of Virginia
Blossom,Metevier,University of Massachusetts Amherst
Sebastian,Griesbach,University of Würzburg
Jan,de Priester,"University of California, Santa Cruz"
Adrian,Orenstein,University of Alberta
Motoki,Omura,The University of Tokyo
Calarina,Muslimani,University of Alberta
Nolan,Bard,Sony AI
Jacob,Adamczyk,University of Massachusetts Boston
David,Szepesvari,University of Alberta
Adam,Jelley,Medal / University of Edinburgh
Dilip,Arumugam,Princeton University
Caleb,Chuck,Synthefy
Matteo,Papini,Politecnico di Milano
Harshit,Sikchi,The University of Texas at Austin
Qinqing,Zheng,FAIR
Harshil,Kotamreddy,University of Alberta
Yi-Shan,Wu,SDU
Jiamin,He,University of Alberta
Cameron,Allen,UC Berkeley
Khurram,Javed,Keen Technologies
Mohamed,Elsayed,University of Alberta
Ayush,Jain,University of Southern California
Dhruv,Sreenivas,Mila - Quebec AI Institute
Olya,Mastikhina,"Mila, UdeM"
Amy,Zhang,UT Austin
Fahim,Shahriar,University of Alberta
Roger,Creus Castanyer,Mila Quebec AI Institute
Esraa,Elelimy,University of Alberta
Kerrick,Johnstonbaugh,RL Core
Lucas,Lehnert,University of Saskatchewan
Théo,Vincent,TU Darmstadt & DFKI
Alex,Lewandowski,University of Alberta
Josiah,Hanna,University of Wisconsin -- Madison
Shivam,Garg,University of Alberta
Pablo,Samuel Castro,Google DeepMind / Université de Montréal / Mila
Ling,Pan,Hong Kong University of Science and Technology
Prabhat,Nagarajan,University of Alberta
Siddarth,Chandrasekar,University of Alberta
Nishanth,Anand,McGill University and Mila
Alex,Ayoub,University of Alberta
Bryan,Chan,University of Alberta
Roy,Fox,UCI
Alexander,Levine,The University of Texas at Austin
Branislav,Kveton,Adobe Research
Jiaxun,Cui,The University of Texas at Austin
Hadi,Nekoei,"Mila, University of Montreal"
Anna,Hakhverdyan,University of Alberta
Kevin,Roice,University of Alberta
Max,Rudolph,UT Austin
Craig,Sherstan,Sony AI
Adriana,Hugessen,Mila/University of Montreal
Shruti,Mishra,-
George,Konidaris,Brown
Geraud,Nangue Tasse,University of the Witwatersrand
Akhil,Bagaria,Amazon
Marcos,Jose,University of Alberta
Reggie,McLean,Toronto Metropolitan University
Kris,De Asis,Openmind Research Institute
Chris,Amato,Northeastern University
Edan,Meyer,University of Alberta
Matthew,Schlegel,University of Calgary
Jacob,Adkins,University of Alberta
Karim,Abdel Sadek,UC Berkeley
Rahul,Kulkarni,University of Massachusetts Boston
Taylor,W. Killian,MBZUAI Institute of Foundation Models
Erin,J. Talvitie,Harvey Mudd College
Bruno,C. da Silva,University of Massachusetts
Anita,de Mello Koch,Brown University
Ruo Yu (David),Tao,Brown University
Raksha,Kumaraswamy,Sony AI
Scott,Jordan,University of Pittsburgh
Nicholas,E. Corrado,University of Wisconsin-Madison
Lucas,Cruz,University of Alberta
Dave,Abel,Google DeepMind
